"","x"
"4369359",2
"45279963",2
"216239",2
"10296883",2
"51037431",2
"44259",2
"7048594",2
"5329102",2
"2746",2
"11213558",2
"2733526",1
"3038522",2
"6505803",2
"5394",2
"452548",1
"5426",2
"54686904",2
"11494412",2
"9911830",2
"60700",2
"15547703",2
"11707110",2
"444795",1
"67156097",2
"5566",2
"107985",1
"49850262",2
"119607",2
"3081361",2
"11960529",2
"10077130",2
"5311",2
"100016",2
"24360",2
"6253",2
"44182295",2
"216326",2
"9943465",2
"126565",2
"176158",2
"11667893",2
"300471",2
"24776445",2
"10077147",2
"11327430",2
"10459196",1
"11624601",2
"10384072",2
"1401",2
"9914412",2
"135400873",2
"5330286",2
"9826528",2
"135421339",2
"2314623",1
"9938203",2
"46883536",2
"60838",2
"51371303",2
"52918385",2
"984170",2
"9931954",2
"24958200",2
"16095342",2
"9858940",2
"56962336",2
"25099184",2
"135565082",2
"135418940",2
"16747683",2
"25262792",2
"58423153",2
"49831044",2
"2375",2
"41867",2
"11488320",2
"51042438",2
"24737642",2
"135539077",2
"51001932",2
"57345410",2
"24866313",2
"2155128",2
"3899",2
"73010930",2
"72943187",2
"72201027",2
"71522234",2
"46926973",2
"59472121",2
"72200024",2
"42623951",2
"53469448",2
"78243717",2
"24753719",2
"57519544",2
"135564749",2
"9936746",2
"71268957",2
"60167849",2
"59473233",2
"44462758",2
"44631912",2
"71299339",2
"118693659",2
"131634760",2
"68740",2
"8269",2
"4212",2
"657237",2
"5352062",2
"234820",1
"243725",1
"4323685",1
"73068",1
"6708575",1
"13845974",1
"353472",2
"87371",2
"442205",1
"5477029",1
"397888",2
"643462",1
"2332",2
"11655119",2
"35397514",2
"2802462",1
"16654980",2
"11719003",2
"46843057",2
"56645356",2
"78209992",2
"25227436",2
"54761306",2
"86660217",2
"76189844",2
"129317940",2
"54761305",2
"52913813",2
"71496458",2
"24788740",2
"56941241",2
"70676303",2
"68107965",2
"91668541",2
"46931953",2
"68289010",2
"992586",2
"2984337",2
"135691163",2
"135875424",2
"2431289",2
"71297207",2
"45168044",2
"25227847",2
"68947304",2
"16224745",2
"446541",1
"44442376",2
"11634725",2
"118704762",2
"135905416",2
"117072552",2
"51000408",2
"122540908",2
"76285486",2
"121271792",2
"78357767",2
"24905401",2
"71271629",2
"54685215",2
"56962337",2
"70983932",2
"124886",2
"864",1
"12035",2
"NPC472909",1
"NPC251571",2
"NPC14248",1
"NPC38065",1
"NPC293852",1
"NPC215831",1
"NPC248944",1
"NPC1755",1
"NPC198968",1
"NPC220705",1
"NPC22324",1
"NPC74539",1
"NPC179261",1
"NPC41217",1
"NPC198621",1
"NPC149018",1
"NPC174760",2
"NPC55832",1
"NPC248573",1
"NPC477043",1
"NPC159168",1
"NPC295823",1
"NPC168250",2
"NPC213711",1
"NPC259733",1
"NPC245029",1
"NPC471426",1
"NPC148497",1
"NPC469816",2
"NPC80710",1
"NPC215932",1
"NPC243601",1
"NPC212631",1
"NPC235076",2
"NPC247364",1
"NPC31279",2
"NPC306843",2
"NPC78540",1
"NPC103904",1
"NPC319404",1
"NPC476855",1
"NPC161928",1
"NPC103290",1
"NPC66349",1
"NPC23294",2
"NPC93071",1
"NPC228504",1
"NPC33320",1
"NPC84684",1
"NPC171317",2
"NPC191012",1
"NPC202391",1
"NPC328374",1
"NPC144547",1
"NPC151171",2
"NPC235557",1
"NPC25666",1
"NPC128730",1
"NPC204960",1
"NPC291454",1
"NPC89294",1
"NPC239890",1
"NPC471375",1
"NPC226988",1
"NPC473780",1
"NPC37929",1
"NPC290038",1
"NPC82217",1
"NPC110639",1
"NPC281840",1
"NPC136879",1
"NPC171831",1
"NPC50960",1
"NPC35288",1
"NPC213896",1
"NPC281780",1
"NPC472949",1
"NPC68443",1
"NPC111114",1
"NPC208084",2
"NPC272157",1
"NPC236973",1
"NPC197701",1
"NPC309190",1
"NPC176775",1
"NPC275671",1
"NPC215584",2
"NPC98633",1
"NPC269074",1
"NPC63193",1
"NPC51579",1
"NPC469560",2
"NPC471333",1
"NPC291709",1
"NPC62995",2
"NPC287668",1
"NPC199023",1
"NPC37709",1
"NPC39167",1
"NPC105246",1
"NPC299706",1
"NPC290759",2
"NPC192596",1
"NPC237540",1
"NPC292458",1
"NPC176300",1
"NPC189960",1
"NPC177995",1
"NPC186042",1
"NPC161571",1
"NPC61473",1
"NPC200957",1
"NPC262858",1
"NPC81229",2
"NPC35160",1
"NPC156432",1
"NPC210828",2
"NPC83922",1
"NPC311702",1
"NPC98069",1
"NPC126664",2
"NPC251170",1
"NPC137750",1
"NPC229213",1
"NPC235053",1
"NPC275690",1
"NPC152477",1
"NPC214030",1
"NPC40552",1
"NPC297186",1
"NPC45606",1
"NPC93640",1
"NPC73061",1
"NPC106510",1
"NPC259166",1
"NPC127491",1
"NPC207584",1
"NPC150383",1
"NPC81222",1
"NPC475952",1
"NPC113608",1
"NPC20114",1
"NPC166993",1
"NPC158371",1
"NPC469380",1
"NPC469720",2
"NPC475007",1
"NPC282445",1
"NPC295777",1
"NPC246164",1
"NPC473918",1
"NPC35038",1
"NPC238216",1
"NPC322482",2
"NPC178676",1
"NPC323356",1
"NPC249583",2
"NPC67493",1
"NPC136994",1
"NPC49964",1
"NPC171204",1
"NPC127933",1
"NPC260434",2
"NPC231680",1
"NPC291820",1
"NPC173272",1
"NPC208197",1
"NPC104387",1
"NPC124549",2
"NPC269058",1
"NPC279061",1
"NPC289383",2
"NPC166788",1
"NPC284918",1
"NPC233012",1
"NPC257296",1
"NPC201908",1
"NPC471576",1
"NPC470401",1
"NPC253456",1
"NPC142703",1
"NPC180508",1
"NPC237901",2
"NPC134586",2
"NPC297584",2
"NPC260000",1
"NPC65523",1
"NPC228776",1
"NPC154683",1
"NPC40728",1
"NPC43213",1
"NPC282577",1
"NPC46565",1
"NPC144419",1
"NPC231060",1
"NPC124658",2
"NPC285841",2
"NPC157655",1
"NPC122828",1
"NPC9611",1
"NPC157868",1
"NPC208022",2
"NPC238995",1
"NPC46190",1
"NPC63020",1
"NPC256720",1
"NPC4796",1
"NPC196771",1
"NPC215392",1
"NPC161550",2
"NPC475607",2
"NPC228994",1
"NPC165549",1
"NPC216221",2
"NPC287343",1
"NPC196439",1
"NPC477834",1
"NPC117185",1
"NPC473964",1
"NPC71465",1
"NPC188234",1
"NPC242992",1
"NPC91248",1
"NPC134702",2
"NPC151923",1
"NPC195919",1
"NPC476880",1
"NPC237740",2
"NPC10476",1
"NPC57998",1
"NPC167881",1
"NPC28791",1
"NPC155529",1
"NPC201731",1
"NPC253611",1
"NPC473203",1
"NPC2949",2
"NPC203862",1
"NPC88255",1
"NPC304455",2
"NPC477196",1
"NPC54909",1
"NPC469636",1
"NPC304443",1
"NPC23298",1
"NPC20443",1
"NPC49315",2
"NPC477410",1
"NPC85154",1
"NPC289670",1
"NPC207114",1
"NPC251884",2
"NPC5796",1
"NPC14958",1
"NPC142563",1
"NPC292374",1
"NPC165528",1
"NPC55532",1
"NPC169402",2
"NPC132054",1
"NPC280616",1
"NPC277618",1
"NPC155410",1
"NPC9812",1
"NPC196227",1
"NPC295712",1
"NPC329932",2
"NPC118919",1
"NPC100242",1
"NPC145143",1
"NPC264336",1
"NPC285927",1
"NPC124636",2
"NPC196136",1
"NPC473160",1
"NPC137589",2
"NPC201406",1
"NPC302008",1
"NPC75713",1
"NPC119329",2
"NPC97716",1
"NPC47536",1
"NPC166137",1
"NPC62670",1
"NPC78594",1
"NPC476537",2
"NPC271115",2
"NPC235539",1
"NPC141822",1
"NPC97534",1
"NPC229548",1
"NPC135776",1
"NPC292718",1
"NPC4974",2
"NPC320104",2
"NPC48548",1
"NPC90803",1
"NPC1706",1
"NPC253883",2
"NPC118800",1
"NPC311904",1
"NPC131451",1
"NPC84266",1
"NPC221111",1
"NPC5311",1
"NPC18397",1
"NPC295719",1
"NPC476566",2
"NPC53844",1
"NPC266124",1
"NPC105395",1
"NPC471384",1
"NPC285086",1
"NPC289312",1
"NPC303214",2
"NPC140561",1
"NPC311339",1
"NPC130302",1
"NPC73505",1
"NPC117027",2
"NPC190332",2
"NPC476947",1
"NPC22709",1
"NPC308572",1
"NPC95075",2
"NPC100921",1
"NPC228906",1
"NPC203351",1
"NPC224314",1
"NPC472098",2
"NPC303644",1
"NPC49074",1
"NPC76376",1
"NPC133671",1
"NPC120217",1
"NPC39822",2
"NPC275722",1
"NPC202672",1
"NPC20713",1
"NPC174336",2
"NPC221196",2
"NPC177035",1
"NPC106247",1
"NPC288840",1
"NPC244543",2
"NPC311579",1
"NPC152097",1
"NPC274618",1
"NPC307164",1
"NPC75844",2
"NPC471188",1
"NPC306365",1
"NPC210434",2
"NPC282339",2
"NPC471854",1
"NPC101138",1
"NPC226656",1
"NPC115165",1
"NPC25821",1
"NPC130124",2
"NPC164600",1
"NPC122116",1
"NPC129373",1
"NPC65133",1
"NPC171533",1
"NPC214869",2
"NPC31037",1
"NPC278648",1
"NPC243272",1
"NPC66566",1
"NPC195202",1
"NPC235126",1
"NPC293803",1
"NPC148898",2
"NPC30911",2
"NPC96016",2
"NPC133609",2
"NPC201048",1
"NPC242611",1
"NPC30515",1
"NPC470883",1
"NPC57463",1
"NPC100879",1
"NPC1464",2
"NPC67467",1
"NPC133011",2
"NPC138374",1
"NPC221231",1
"NPC248793",1
"NPC222358",1
"NPC473153",1
"NPC12319",1
"NPC277074",1
"NPC200788",2
"NPC114172",1
"NPC80471",1
"NPC223185",1
"NPC147032",1
"NPC294863",1
"NPC192810",1
"NPC469860",2
"NPC34965",1
"NPC179970",1
"NPC36002",1
"NPC113044",1
"NPC233718",2
"NPC218041",1
"NPC477130",1
"NPC210003",1
"NPC474106",1
"NPC187583",1
"NPC278887",2
"NPC67805",1
"NPC163249",1
"NPC44240",1
"NPC221104",1
"NPC304509",1
"NPC474478",1
"NPC139617",1
"NPC248372",1
"NPC297348",1
"NPC303633",1
"NPC99632",2
"NPC248830",1
"NPC28641",2
"NPC3852",1
"NPC270768",1
"NPC299144",1
"NPC284104",1
"NPC118128",1
"NPC68828",1
"NPC202394",1
"NPC91492",1
"NPC329698",1
"NPC477282",1
"NPC475659",1
"NPC165578",1
"NPC474641",1
"NPC46941",1
"NPC475836",1
"NPC260909",2
"NPC64081",1
"NPC474192",2
"NPC96321",2
"NPC267336",1
"NPC249034",1
"NPC167606",1
"NPC86020",1
"NPC123117",1
"NPC88983",1
"NPC231607",1
"NPC96784",1
"NPC17042",1
"NPC210658",1
"NPC476990",2
"NPC62172",1
"NPC46848",1
"NPC236756",1
"NPC24404",1
"NPC311809",1
"NPC175410",1
